"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,5282
396,46; 82,9896
397,79; 82,9319
399,11; 83,2287
400,44; 83,6252
401,76; 83,0366
403,08; 83,9134
404,41; 83,212
405,73; 82,3372
407,06; 83,3692
408,38; 82,6293
409,7; 83,1469
411,03; 82,8275
412,35; 83,568
413,67; 83,0696
414,99; 83,155
416,31; 83,6157
417,64; 83,2534
418,96; 82,8714
420,28; 82,6469
421,6; 82,9474
422,92; 83,6231
424,24; 83,009
425,56; 83,5504
426,88; 82,9869
428,2; 83,4625
429,52; 83,257
430,84; 83,2472
432,16; 83,7708
433,48; 83,262
434,8; 83,771
436,12; 83,1477
437,44; 83,3541
438,75; 83,4644
440,07; 83,2146
441,39; 83,784
442,71; 83,3749
444,02; 83,3501
445,34; 83,8676
446,66; 83,2355
447,98; 83,952
449,29; 83,4453
450,61; 83,3596
451,92; 83,6997
453,24; 83,0566
454,55; 83,6746
455,87; 83,505
457,18; 82,967
458,5; 83,8723
459,81; 83,7775
461,13; 83,4902
462,44; 83,8868
463,76; 83,9215
465,07; 83,0892
466,38; 83,8216
467,7; 83,4326
469,01; 83,2492
470,32; 83,7905
471,63; 83,0534
472,95; 83,2531
474,26; 83,7069
475,57; 83,1977
476,88; 83,6987
478,19; 84,2228
479,5; 83,3806
480,81; 83,4905
482,13; 84,016
483,44; 83,5201
484,75; 83,2913
486,06; 83,9333
487,37; 83,2912
488,67; 82,897
489,98; 83,6856
491,29; 83,1214
492,6; 82,6028
493,91; 83,581
495,22; 83,6673
496,53; 83,0416
497,83; 83,5844
499,14; 84,0238
500,45; 83,1573
501,76; 83,0321
503,06; 83,8637
504,37; 83,1869
505,68; 82,5966
506,98; 83,4721
508,29; 83,5403
509,6; 82,4004
510,9; 83,0979
512,21; 83,9847
513,51; 83,1314
514,82; 82,7157
516,12; 83,8229
517,42; 83,9102
518,73; 82,9882
520,03; 83,2463
521,34; 84,1533
522,64; 83,3161
523,94; 82,4352
525,25; 83,3729
526,55; 83,8618
527,85; 82,7038
529,15; 82,3953
530,46; 83,5088
531,76; 83,7768
533,06; 82,5148
534,36; 82,5998
535,66; 83,9823
536,96; 83,759
538,26; 82,5802
539,56; 83,0033
540,87; 84,3822
542,17; 83,7949
543,47; 82,5909
544,76; 82,8362
546,06; 84,0158
547,36; 83,3729
548,66; 82,0411
549,96; 82,6683
551,26; 83,7015
552,56; 83,5584
553,86; 82,2552
555,15; 82,1838
556,45; 83,8305
557,75; 83,971
559,05; 82,3214
560,34; 82,4107
561,64; 83,8251
562,94; 84,3976
564,23; 83,0153
565,53; 82,416
566,82; 83,3604
568,12; 84,1942
569,41; 83,425
570,71; 82,342
572; 82,6958
573,3; 84,029
574,59; 84,0924
575,89; 82,6756
577,18; 82,2365
578,47; 83,5378
579,77; 84,6168
581,06; 83,53
582,35; 82,2948
583,65; 82,7942
584,94; 84,5421
586,23; 84,5765
587,52; 83,2497
588,82; 82,5716
590,11; 83,589
591,4; 84,8706
592,69; 84,4174
593,98; 83,1626
595,27; 82,7973
596,56; 83,8684
597,85; 84,7933
599,14; 84,142
600,43; 82,7143
601,72; 82,4909
603,01; 83,7158
604,3; 84,8872
605,59; 84,1173
606,88; 82,4029
608,16; 82,3615
609,45; 83,8853
610,74; 84,8569
612,03; 83,9923
613,32; 82,4664
614,6; 82,446
615,89; 83,8904
617,18; 84,9501
618,46; 84,3
619,75; 82,9244
621,04; 82,3039
622,32; 83,4578
623,61; 84,4436
624,89; 84,4079
626,18; 83,3982
627,46; 82,4743
628,75; 82,683
630,03; 84,3654
631,32; 84,9635
632,6; 84,0655
633,88; 82,4596
635,17; 81,9298
636,45; 83,2476
637,73; 84,7762
639,02; 84,7502
640,3; 82,8432
641,58; 81,7492
642,86; 82,7223
644,15; 84,3656
645,43; 85,1799
646,71; 83,8913
647,99; 82,4249
649,27; 82,4194
650,55; 83,521
651,83; 84,9136
653,11; 85,0802
654,39; 84,1772
655,67; 82,7809
656,95; 82,4442
658,23; 83,3575
659,51; 84,6163
660,79; 84,9426
662,07; 84,2964
663,35; 82,7382
664,63; 81,8741
665,91; 82,6794
667,18; 84,4066
668,46; 85,0738
669,74; 84,0072
671,02; 82,1198
672,29; 81,4737
673,57; 82,6557
674,85; 84,5407
676,12; 85,0112
677,4; 84,1556
678,67; 82,1995
679,95; 81,3523
681,22; 82,0752
682,5; 83,9345
683,77; 85,1151
685,05; 84,6342
686,32; 83,5358
687,6; 82,3752
688,87; 82,2544
690,15; 83,1905
691,42; 84,586
692,69; 85,1928
693,97; 84,8017
695,24; 83,7614
696,51; 82,3761
697,78; 82,0903
699,05; 83,0827
700,33; 84,6827
701,6; 85,4217
702,87; 84,4539
704,14; 82,5991
705,41; 81,1792
706,68; 81,4758
707,95; 82,9338
709,22; 84,9932
710,49; 85,3724
711,76; 83,7989
713,03; 81,9855
714,3; 81,1397
715,57; 81,785
716,84; 83,0691
718,11; 84,9175
719,38; 85,277
720,65; 83,9321
721,91; 82,5356
723,18; 81,645
724,45; 82,3294
725,72; 83,7976
726,98; 84,5859
728,25; 85,2636
729,52; 84,585
730,78; 83,7273
732,05; 82,7149
733,32; 82,2492
734,58; 82,5584
735,85; 83,3734
737,11; 84,6983
738,38; 85,3309
739,64; 84,8353
740,91; 83,1088
742,17; 81,6333
743,44; 81,0916
744,7; 81,8933
745,96; 83,5789
747,23; 85,0623
748,49; 85,2657
749,75; 83,9993
751,02; 81,9187
752,28; 80,2504
753,54; 80,6073
754,8; 82,0865
756,06; 84,0208
757,33; 85,4497
758,59; 85,0431
759,85; 83,4427
761,11; 81,6952
762,37; 81,0817
763,63; 81,662
764,89; 82,7479
766,15; 84,4422
767,41; 85,1044
768,67; 84,6011
769,93; 83,8856
771,19; 82,8484
772,45; 82,2504
773,71; 82,2643
774,96; 82,8426
776,22; 83,7475
777,48; 84,7778
778,74; 85,3205
779,99; 85,3481
781,25; 84,4829
782,51; 83,3784
783,77; 81,8991
785,02; 81,4589
786,28; 81,796
787,53; 83,2246
788,79; 84,9028
790,05; 85,1766
791,3; 84,6259
792,56; 82,9505
793,81; 81,2252
795,07; 79,9479
796,32; 80,0998
797,58; 81,7362
798,83; 83,0859
800,08; 84,3706
801,34; 84,8697
802,59; 83,8127
803,84; 81,9407
805,1; 80,2106
806,35; 79,8264
807,6; 80,4346
808,85; 81,9722
810,11; 83,5365
811,36; 84,9426
812,61; 84,9315
813,86; 84,0055
815,11; 82,8547
816,36; 82,0908
817,61; 81,6167
818,86; 81,9617
820,11; 82,4931
821,36; 83,8014
822,61; 84,5109
823,86; 85,036
825,11; 85,0753
826,36; 84,5626
827,61; 83,9479
828,86; 83,0762
830,11; 82,1459
831,35; 81,6599
832,6; 82,0194
833,85; 82,4345
835,1; 83,8021
836,34; 85,4555
837,59; 85,974
838,84; 84,7261
840,08; 83,0433
841,33; 81,516
842,58; 80,0922
843,82; 79,8477
845,07; 80,589
846,31; 81,8283
847,56; 83,5227
848,8; 84,7315
850,05; 85,0879
851,29; 83,4217
852,54; 81,589
853,78; 79,5003
855,02; 78,7239
856,27; 78,8426
857,51; 80,3288
858,75; 82,0724
860; 83,5412
861,24; 84,2791
862,48; 84,4267
863,72; 84,0154
864,97; 82,5086
866,21; 80,8609
867,45; 80,1818
868,69; 80,2341
869,93; 81,1682
871,17; 82,3644
872,41; 83,4405
873,65; 84,3491
874,89; 84,865
876,13; 84,9556
877,37; 84,5308
878,61; 83,7599
879,85; 83,4771
881,09; 82,88
882,33; 81,9835
883,57; 81,9875
884,8; 82,1439
886,04; 82,8798
887,28; 83,6878
888,52; 84,7769
889,76; 85,3862
890,99; 85,4101
