"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,7156
396,46; 83,1645
397,79; 84,6255
399,11; 83,3835
400,44; 84,1597
401,76; 84,2661
403,08; 84,0412
404,41; 83,3319
405,73; 83,9725
407,06; 83,6218
408,38; 83,0029
409,7; 84,1352
411,03; 83,2817
412,35; 84,1139
413,67; 83,8048
414,99; 84,171
416,31; 83,7895
417,64; 83,7072
418,96; 83,3974
420,28; 83,505
421,6; 83,6051
422,92; 83,9296
424,24; 84,1794
425,56; 83,3007
426,88; 83,7841
428,2; 83,805
429,52; 83,8016
430,84; 83,9174
432,16; 83,5516
433,48; 84,2306
434,8; 83,8833
436,12; 83,958
437,44; 84,1514
438,75; 83,7573
440,07; 83,9867
441,39; 84,0078
442,71; 84,0665
444,02; 84,4933
445,34; 84,1379
446,66; 84,2819
447,98; 83,4978
449,29; 83,7004
450,61; 84,3464
451,92; 83,4795
453,24; 84,0573
454,55; 84,0094
455,87; 83,8807
457,18; 84,38
458,5; 84,1406
459,81; 83,8572
461,13; 84,2413
462,44; 83,7875
463,76; 84,2979
465,07; 84,174
466,38; 83,7284
467,7; 84,1899
469,01; 84,3075
470,32; 83,8192
471,63; 84,2891
472,95; 84,0947
474,26; 83,553
475,57; 84,4973
476,88; 84,346
478,19; 84,0454
479,5; 84,3915
480,81; 84,1224
482,13; 83,5082
483,44; 84,5499
484,75; 84,3558
486,06; 83,5182
487,37; 84,1449
488,67; 84,2361
489,98; 83,5135
491,29; 83,9242
492,6; 84,2903
493,91; 83,3139
495,22; 83,7373
496,53; 84,5593
497,83; 83,7972
499,14; 83,6384
500,45; 84,4217
501,76; 83,8314
503,06; 83,2493
504,37; 84,1138
505,68; 84,5105
506,98; 83,3666
508,29; 83,7309
509,6; 84,3814
510,9; 83,7265
512,21; 83,433
513,51; 84,2845
514,82; 84,1803
516,12; 83,2189
517,42; 83,5855
518,73; 84,6061
520,03; 83,9077
521,34; 83,251
522,64; 84,1165
523,94; 84,5449
525,25; 83,4304
526,55; 83,2251
527,85; 84,3062
529,15; 84,2703
530,46; 83,1433
531,76; 83,5445
533,06; 84,5553
534,36; 83,8634
535,66; 82,9343
536,96; 83,5789
538,26; 84,5716
539,56; 83,9339
540,87; 83,0822
542,17; 83,844
543,47; 84,5742
544,76; 83,6446
546,06; 82,8734
547,36; 83,5979
548,66; 84,5068
549,96; 83,9829
551,26; 82,7288
552,56; 83,6296
553,86; 84,5974
555,15; 83,7402
556,45; 82,7617
557,75; 83,503
559,05; 84,4631
560,34; 84,1622
561,64; 82,8138
562,94; 83,231
564,23; 84,3888
565,53; 84,5049
566,82; 83,0707
568,12; 82,8351
569,41; 84,0518
570,71; 84,7527
572; 83,7545
573,3; 82,8287
574,59; 83,7396
575,89; 84,9753
577,18; 84,4927
578,47; 83,27
579,77; 83,2158
581,06; 84,4526
582,35; 85,0381
583,65; 83,8601
584,94; 83,0166
586,23; 83,7684
587,52; 85,1801
588,82; 84,9323
590,11; 83,5407
591,4; 83,0689
592,69; 84,3576
593,98; 85,4087
595,27; 84,6687
596,56; 83,2369
597,85; 83,297
599,14; 84,575
