"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,7036
396,46; 81,3023
397,79; 81,1992
399,11; 81,6333
400,44; 81,5711
401,76; 81,2817
403,08; 81,7438
404,41; 81,7774
405,73; 81,9278
407,06; 81,6928
408,38; 81,7899
409,7; 81,7744
411,03; 81,4032
412,35; 81,3634
413,67; 81,9518
414,99; 82,0259
416,31; 81,3325
417,64; 81,6466
418,96; 81,2902
420,28; 81,8697
421,6; 81,512
422,92; 82,1978
424,24; 82,4591
425,56; 81,8074
426,88; 82,1073
428,2; 81,6362
429,52; 82,054
430,84; 81,5848
432,16; 81,7735
433,48; 82,2683
434,8; 81,6296
436,12; 82,3289
437,44; 82,1357
438,75; 81,6778
440,07; 82,1348
441,39; 81,948
442,71; 82,0584
444,02; 82,2384
445,34; 81,7212
446,66; 82,1812
447,98; 81,8279
449,29; 81,5799
450,61; 82,4004
451,92; 81,6244
453,24; 82,0658
454,55; 82,1584
455,87; 81,6858
457,18; 82,206
458,5; 81,8666
459,81; 81,6916
461,13; 82,3032
462,44; 82,0195
463,76; 81,8063
465,07; 82,3049
466,38; 81,8227
467,7; 81,9647
469,01; 82,389
470,32; 82,0528
471,63; 81,8942
472,95; 82,1162
474,26; 81,7499
475,57; 81,9481
476,88; 82,4378
478,19; 81,8248
479,5; 81,8056
480,81; 82,2876
482,13; 81,8694
483,44; 81,6757
484,75; 82,3348
486,06; 81,8426
487,37; 81,5185
488,67; 82,1174
489,98; 81,9752
491,29; 81,3521
492,6; 81,9734
493,91; 82,0885
495,22; 81,3221
496,53; 81,7939
497,83; 82,1506
499,14; 81,4119
500,45; 81,3731
501,76; 82,1132
503,06; 81,8397
504,37; 81,1201
505,68; 82,0383
506,98; 82,2557
508,29; 81,299
509,6; 81,443
510,9; 82,3579
512,21; 81,8931
513,51; 81,0596
514,82; 81,8588
516,12; 82,3466
517,42; 81,3309
518,73; 81,2819
520,03; 82,2327
521,34; 82,0576
522,64; 81,044
523,94; 81,496
525,25; 82,364
526,55; 81,7229
527,85; 80,8508
529,15; 81,631
530,46; 82,4146
531,76; 81,4902
533,06; 80,8711
534,36; 81,9524
535,66; 82,2533
536,96; 81,1442
538,26; 80,7246
539,56; 81,9544
540,87; 82,2991
542,17; 81,1733
543,47; 80,805
544,76; 81,9104
546,06; 82,2988
547,36; 81,1864
548,66; 80,7416
549,96; 81,8204
551,26; 82,3418
552,56; 81,3507
553,86; 80,6841
555,15; 81,5838
556,45; 82,3514
557,75; 81,5393
559,05; 80,6423
560,34; 81,3855
561,64; 82,4933
562,94; 82,1015
564,23; 80,915
565,53; 81,105
566,82; 82,4065
568,12; 82,6667
569,41; 81,5178
570,71; 80,9346
572; 81,9669
573,3; 82,9466
574,59; 82,3053
575,89; 81,1422
577,18; 81,4286
578,47; 82,7251
579,77; 82,9335
581,06; 81,7803
582,35; 81,1079
583,65; 82,0215
584,94; 83,1484
586,23; 82,8371
587,52; 81,518
588,82; 81,3292
590,11; 82,5083
591,4; 83,3353
592,69; 82,5706
593,98; 81,4802
595,27; 81,4705
596,56; 82,8188
597,85; 83,4093
599,14; 82,4767
600,43; 81,3527
601,72; 81,6251
603,01; 82,9364
604,3; 83,5446
605,59; 82,504
606,88; 81,2709
608,16; 81,5892
609,45; 82,9699
610,74; 83,5933
612,03; 82,8223
613,32; 81,4865
614,6; 81,4014
615,89; 82,7488
617,18; 83,6522
618,46; 83,0705
619,75; 81,765
621,04; 81,2577
622,32; 82,2562
623,61; 83,5264
624,89; 83,4624
626,18; 82,2115
627,46; 81,3392
628,75; 81,6465
630,03; 83,1033
631,32; 83,8245
632,6; 82,8794
633,88; 81,5438
635,17; 81,2341
636,45; 82,4811
637,73; 83,612
639,02; 83,6218
640,3; 82,3449
641,58; 81,1805
642,86; 81,467
644,15; 82,8137
645,43; 83,8125
646,71; 83,43
647,99; 82,0186
649,27; 81,1155
650,55; 81,533
651,83; 83,0281
653,11; 83,8078
654,39; 83,2767
655,67; 81,8694
656,95; 81,0933
658,23; 81,6793
659,51; 83,0911
660,79; 83,9293
662,07; 83,2815
663,35; 81,8981
664,63; 80,9858
665,91; 81,5084
667,18; 82,8818
668,46; 83,8859
669,74; 83,5906
671,02; 82,1457
672,29; 81,0877
673,57; 81,2142
674,85; 82,4302
676,12; 83,7142
677,4; 83,9256
678,67; 82,7603
679,95; 81,3572
681,22; 80,9446
682,5; 81,7387
683,77; 83,2734
685,05; 84,0168
686,32; 83,5569
687,6; 82,1096
688,87; 81,0401
690,15; 81,1411
691,42; 82,34
692,69; 83,6643
693,97; 83,9966
695,24; 83,1871
696,51; 81,7064
697,78; 80,8746
699,05; 81,2531
700,33; 82,6517
701,6; 83,77
702,87; 83,9238
704,14; 82,9236
705,41; 81,5854
706,68; 80,8919
707,95; 81,3343
709,22; 82,7095
710,49; 83,8252
711,76; 84,0215
713,03; 83,0698
714,3; 81,7189
715,57; 80,8459
716,84; 81,111
718,11; 82,3361
719,38; 83,6873
720,65; 84,1982
721,91; 83,5178
723,18; 82,1164
724,45; 80,9721
725,72; 80,9453
726,98; 81,8471
728,25; 83,1182
729,52; 84,0239
730,78; 83,745
732,05; 82,7835
733,32; 81,3424
734,58; 80,606
735,85; 81,0796
737,11; 82,3203
738,38; 83,5688
739,64; 84,1098
740,91; 83,5571
742,17; 82,2459
743,44; 80,9467
744,7; 80,5398
745,96; 81,1589
747,23; 82,4891
748,49; 83,7881
749,75; 84,1216
751,02; 83,4015
752,28; 82,2034
753,54; 80,962
754,8; 80,4995
756,06; 81,0551
757,33; 82,3532
758,59; 83,669
759,85; 84,1698
761,11; 83,5398
762,37; 82,2707
763,63; 81,1487
764,89; 80,4713
766,15; 80,7432
767,41; 81,8628
768,67; 83,1396
769,93; 84,0922
771,19; 83,857
772,45; 82,7152
773,71; 81,3963
774,96; 80,5378
776,22; 80,4767
777,48; 81,319
778,74; 82,6681
779,99; 83,7893
781,25; 84,2436
782,51; 83,5067
783,77; 82,2974
785,02; 80,9994
786,28; 80,2557
787,53; 80,4334
788,79; 81,4321
790,05; 82,7749
791,3; 83,8495
792,56; 84,1361
793,81; 83,4245
795,07; 82,2859
796,32; 80,9192
797,58; 80,1422
798,83; 80,327
800,08; 81,4398
801,34; 82,648
802,59; 83,7243
803,84; 84,1405
805,1; 83,6401
806,35; 82,4089
807,6; 81,1517
808,85; 80,2686
810,11; 80,1135
811,36; 80,8026
812,61; 82,0595
813,86; 83,3031
815,11; 83,953
816,36; 83,8665
817,61; 82,9448
818,86; 81,775
820,11; 80,5275
821,36; 80,0549
822,61; 80,2945
823,86; 81,2982
825,11; 82,5509
826,36; 83,6393
827,61; 83,9336
828,86; 83,6362
830,11; 82,631
831,35; 81,3339
832,6; 80,3452
833,85; 79,967
835,1; 80,2524
836,34; 81,3196
837,59; 82,4975
838,84; 83,6332
840,08; 84,0615
841,33; 83,683
842,58; 82,6886
843,82; 81,387
845,07; 80,1785
846,31; 79,6601
847,56; 79,9614
848,8; 80,7532
850,05; 82,0618
851,29; 83,3125
852,54; 84,0606
853,78; 84,0065
855,02; 83,1622
856,27; 81,9852
857,51; 80,8211
858,75; 80,0579
860; 79,8225
861,24; 80,3171
862,48; 81,4228
863,72; 82,4728
864,97; 83,5918
866,21; 84,0833
867,45; 84,0045
868,69; 83,0142
869,93; 81,7716
871,17; 80,7249
872,41; 79,8883
873,65; 79,8615
874,89; 80,2485
876,13; 81,2332
877,37; 82,555
878,61; 83,4959
879,85; 84,184
881,09; 83,9988
882,33; 83,246
883,57; 81,8992
884,8; 80,8804
886,04; 80,0658
887,28; 79,8315
888,52; 80,0633
889,76; 80,9512
890,99; 81,8092
892,23; 83,0403
893,47; 83,8901
894,7; 84,1747
895,94; 83,5257
897,17; 82,7091
898,41; 81,3524
899,65; 80,2863
900,88; 79,5995
902,12; 79,5287
903,35; 80,1606
904,59; 81,0865
905,82; 82,3484
907,05; 83,5462
908,29; 84,2219
909,52; 84,1626
910,75; 83,8447
911,99; 82,8218
913,22; 81,5268
914,45; 80,6289
915,69; 79,7927
916,92; 79,6609
918,15; 80,09
919,38; 80,9303
920,61; 82,0585
921,85; 83,2772
923,08; 84,1733
924,31; 84,6485
925,54; 83,8666
926,77; 83,1953
928; 82,0997
929,23; 80,8533
930,46; 80,1033
931,69; 79,6497
932,92; 79,6264
934,15; 80,2707
935,38; 80,923
936,6; 82,2535
937,83; 83,4204
939,06; 83,762
940,29; 84,1585
941,52; 83,7127
942,74; 82,9569
943,97; 81,9042
945,2; 80,7336
946,42; 80,292
947,65; 80,0156
948,88; 79,6017
950,1; 80,2913
951,33; 81,1492
952,55; 82,2498
953,78; 83,1322
955,01; 83,8602
956,23; 84,481
957,46; 84,2687
958,68; 83,4587
959,9; 82,3689
961,13; 81,0972
962,35; 80,3053
963,58; 79,6416
964,8; 79,5653
966,02; 79,8512
967,24; 80,5145
968,47; 81,3492
969,69; 82,5881
970,91; 83,6149
972,13; 84,09
973,36; 84,3617
974,58; 84,3244
975,8; 83,1533
977,02; 82,0909
978,24; 81,0884
979,46; 79,8518
980,68; 79,3467
981,9; 79,0133
983,12; 79,6831
984,34; 80,1151
985,56; 81,1904
986,78; 81,8092
988; 83,3481
989,22; 84,0447
990,44; 84,2996
991,65; 83,77
992,87; 83,5806
994,09; 82,9001
995,31; 81,3455
996,53; 80,8321
997,74; 79,6462
998,96; 79,6068
1000,18; 79,7701
1001,39; 80,1077
1002,61; 80,3249
1003,83; 80,8143
1005,04; 82,2039
1006,26; 82,7933
1007,47; 84,2305
1008,69; 84,2407
1009,9; 84,5521
1011,12; 83,4282
1012,33; 82,9963
1013,54; 82,6917
1014,76; 81,0504
1015,97; 80,2771
1017,19; 79,8314
1018,4; 79,5271
1019,61; 78,9085
1020,83; 79,6549
1022,04; 79,9529
1023,25; 82,0238
1024,46; 83,1152
1025,67; 83,6236
1026,89; 84,8623
1028,1; 84,5749
1029,31; 84,199
1030,52; 83,6579
1031,73; 82,4923
1032,94; 82,3977
1034,15; 81,5222
1035,36; 80,4683
1036,57; 79,1608
1037,78; 78,8789
1038,99; 78,6682
1040,2; 79,4866
