"Wavelength (nm)"; "Transmittance (%)"
395,13; 83,0414
396,46; 83,2354
397,79; 83,379
399,11; 83,6545
400,44; 83,8287
401,76; 83,2271
403,08; 83,2331
404,41; 83,2191
405,73; 82,4962
407,06; 83,3757
408,38; 82,7716
409,7; 83,0249
411,03; 82,8329
412,35; 83,4581
413,67; 83,6196
414,99; 83,3682
416,31; 83,6201
417,64; 83,736
418,96; 83,425
420,28; 82,827
421,6; 83,2909
422,92; 83,463
424,24; 83,5682
425,56; 83,0938
426,88; 83,2128
428,2; 84,0434
429,52; 83,6118
430,84; 83,7318
432,16; 83,6392
433,48; 83,462
434,8; 83,7738
436,12; 83,3413
437,44; 83,5446
438,75; 83,4672
440,07; 82,9749
441,39; 83,8464
442,71; 83,2009
444,02; 83,6422
445,34; 83,4711
446,66; 83,573
447,98; 84,1744
449,29; 83,5015
450,61; 83,7305
451,92; 84,116
453,24; 83,667
454,55; 84,0244
455,87; 83,5557
457,18; 83,2542
458,5; 83,781
459,81; 83,3677
461,13; 83,4474
462,44; 83,4488
463,76; 83,3208
465,07; 83,386
466,38; 83,6171
467,7; 83,3536
469,01; 84,082
470,32; 84,024
471,63; 83,5079
472,95; 83,9579
474,26; 83,9979
475,57; 83,4468
476,88; 84,3219
478,19; 83,9544
479,5; 83,2176
480,81; 83,844
482,13; 83,5488
483,44; 82,9721
484,75; 83,7393
486,06; 83,4979
487,37; 83,0056
488,67; 83,5713
489,98; 83,7418
491,29; 83,1225
492,6; 83,6628
493,91; 83,7644
495,22; 83,3115
496,53; 83,6172
497,83; 84,4126
499,14; 83,5031
500,45; 83,343
501,76; 83,8827
503,06; 83,5384
504,37; 82,8912
505,68; 83,7117
506,98; 83,7539
508,29; 82,6807
509,6; 82,8976
510,9; 83,7507
512,21; 83,2013
513,51; 82,5981
514,82; 83,5384
516,12; 83,6695
517,42; 83,0002
518,73; 83,204
520,03; 84,2696
521,34; 83,7209
522,64; 83,159
523,94; 83,7722
525,25; 84,2481
526,55; 83,4707
527,85; 82,9126
529,15; 83,9369
530,46; 84,0306
531,76; 82,9342
533,06; 82,8536
534,36; 83,8536
535,66; 83,598
536,96; 82,4273
538,26; 82,9042
539,56; 84,0179
540,87; 83,4168
542,17; 82,5527
543,47; 83,0977
544,76; 84,0349
546,06; 83,4531
