"Wavelength (nm)"; "Transmittance (%)"
395,13; 82,9625
396,46; 83,6475
397,79; 82,4303
399,11; 82,7747
400,44; 83,2248
401,76; 81,8346
403,08; 82,3167
404,41; 83,5601
405,73; 82,2715
407,06; 82,2016
408,38; 82,8929
409,7; 82,9739
411,03; 82,256
412,35; 82,999
413,67; 82,4602
414,99; 83,2533
416,31; 83,2023
417,64; 83,3199
418,96; 83,5396
420,28; 82,5331
421,6; 83,3143
422,92; 82,7557
424,24; 83,4184
425,56; 82,7586
426,88; 82,7451
428,2; 82,9252
429,52; 82,7379
430,84; 83,3698
432,16; 83,2306
433,48; 83,184
434,8; 83,2134
436,12; 82,9702
437,44; 83,5839
438,75; 82,7848
440,07; 83,429
441,39; 83,3024
442,71; 83,009
444,02; 83,4633
445,34; 83,087
446,66; 83,4896
447,98; 83,4569
449,29; 83,0621
450,61; 83,5783
451,92; 83,1917
453,24; 83,0337
454,55; 83,4969
455,87; 82,7918
457,18; 83,4044
458,5; 83,4791
459,81; 83,1375
461,13; 83,6198
462,44; 83,7142
463,76; 83,412
465,07; 83,7054
466,38; 83,1289
467,7; 83,1838
469,01; 83,7253
470,32; 83,0783
471,63; 82,9672
472,95; 83,6226
474,26; 82,7849
475,57; 83,1937
476,88; 83,8293
478,19; 83,2495
479,5; 83,6196
480,81; 83,881
482,13; 83,0425
483,44; 83,2441
484,75; 83,6889
486,06; 83,0203
487,37; 82,8864
488,67; 83,6145
489,98; 82,8598
491,29; 82,5258
492,6; 83,6671
493,91; 83,0435
495,22; 82,7647
496,53; 83,7817
497,83; 83,5589
499,14; 82,8451
500,45; 83,4549
501,76; 83,7604
503,06; 82,8615
504,37; 82,8392
505,68; 83,7303
506,98; 82,9735
508,29; 82,1731
509,6; 83,3374
510,9; 83,4318
512,21; 82,4616
513,51; 82,919
514,82; 83,8206
516,12; 82,914
517,42; 82,7422
518,73; 83,6711
520,03; 83,955
521,34; 82,8398
522,64; 82,9061
523,94; 83,8012
525,25; 83,4442
526,55; 82,1265
527,85; 82,741
529,15; 83,5109
530,46; 82,6563
531,76; 82,0893
533,06; 83,3783
534,36; 83,7194
535,66; 82,6338
536,96; 82,5404
538,26; 83,8859
539,56; 83,7685
540,87; 82,7353
542,17; 82,9158
543,47; 83,8375
544,76; 83,7738
546,06; 82,5574
547,36; 82,2243
548,66; 83,3337
549,96; 83,5186
551,26; 82,2053
552,56; 81,9851
553,86; 83,3544
555,15; 83,7419
556,45; 82,3149
557,75; 82,1034
559,05; 83,4702
560,34; 84,175
561,64; 82,8487
562,94; 82,26
564,23; 83,5271
565,53; 84,2627
566,82; 83,5219
568,12; 82,3098
569,41; 82,8432
570,71; 83,9811
572; 83,895
573,3; 82,6302
574,59; 82,1142
575,89; 83,4343
577,18; 84,035
578,47; 83,1392
579,77; 81,9611
581,06; 82,9206
582,35; 84,2952
583,65; 84,1058
584,94; 82,7489
586,23; 82,6291
587,52; 83,9355
588,82; 84,6696
590,11; 83,782
591,4; 82,7299
592,69; 82,8525
593,98; 84,1358
595,27; 84,4407
596,56; 83,4112
597,85; 82,2608
599,14; 82,7588
600,43; 84,1693
601,72; 84,3683
603,01; 82,9078
604,3; 81,9049
605,59; 82,9142
606,88; 84,4543
608,16; 84,3757
609,45; 82,9306
610,74; 82,1036
612,03; 83,0912
613,32; 84,5589
614,6; 84,481
615,89; 83,2512
617,18; 82,508
618,46; 83,1178
619,75; 84,5206
621,04; 84,6866
622,32; 83,4666
623,61; 82,3337
624,89; 82,4354
626,18; 83,7903
627,46; 84,5682
628,75; 84,013
630,03; 82,5596
631,32; 81,7789
632,6; 82,7973
633,88; 84,334
635,17; 84,2986
636,45; 83,0076
637,73; 81,8972
639,02; 82,2963
640,3; 84,0542
641,58; 84,7249
642,86; 84,0181
644,15; 82,4532
645,43; 82,2234
646,71; 83,3124
647,99; 84,5305
649,27; 84,9591
650,55; 83,7962
651,83; 82,4001
653,11; 82,1647
654,39; 83,295
655,67; 84,6946
656,95; 84,5359
658,23; 83,2639
659,51; 82,0066
660,79; 82,0555
662,07; 83,2758
663,35; 84,4295
664,63; 84,3529
665,91; 83,1487
667,18; 81,8288
668,46; 81,6704
669,74; 82,9992
671,02; 84,3244
672,29; 84,5339
673,57; 83,6168
674,85; 82,3495
676,12; 81,933
677,4; 82,8334
678,67; 84,3979
679,95; 85,01
681,22; 83,9618
682,5; 82,7322
683,77; 81,8167
685,05; 82,373
686,32; 83,7029
687,6; 84,9401
688,87; 84,4963
690,15; 83,1725
691,42; 81,76
692,69; 81,5768
693,97; 82,7407
695,24; 83,8793
696,51; 84,6006
697,78; 83,7633
699,05; 82,1564
700,33; 81,3143
701,6; 81,8439
702,87; 82,9424
704,14; 84,1281
705,41; 84,4545
706,68; 83,6868
707,95; 82,3881
709,22; 81,5572
710,49; 81,8406
711,76; 83,0904
713,03; 84,1968
714,3; 84,6292
715,57; 83,6513
716,84; 82,2566
718,11; 81,3385
719,38; 81,8211
720,65; 82,9217
721,91; 84,3092
723,18; 84,7851
724,45; 84,0374
725,72; 82,5725
726,98; 81,2527
728,25; 81,2044
729,52; 82,3232
730,78; 83,5878
732,05; 84,6729
733,32; 84,4714
734,58; 83,1552
735,85; 81,7984
737,11; 80,9116
738,38; 81,6917
739,64; 82,9959
740,91; 84,1768
742,17; 84,5531
743,44; 83,8847
744,7; 82,7139
745,96; 81,7954
747,23; 81,1967
748,49; 82,0912
749,75; 83,2592
751,02; 84,6839
752,28; 84,9938
753,54; 83,938
754,8; 82,5078
756,06; 81,2651
757,33; 81,0141
758,59; 81,8658
759,85; 83,3923
761,11; 84,501
762,37; 84,8544
763,63; 83,8583
764,89; 82,4132
766,15; 81,222
767,41; 80,6673
768,67; 81,3552
769,93; 82,7656
771,19; 84,2688
772,45; 84,4081
773,71; 83,7834
774,96; 82,4152
776,22; 81,1869
777,48; 80,6006
778,74; 80,9401
779,99; 82,2604
781,25; 83,6716
782,51; 84,3808
783,77; 84,18
785,02; 83,0377
786,28; 82,1249
787,53; 81,1811
788,79; 81,0583
790,05; 81,9029
791,3; 82,703
792,56; 83,5323
793,81; 84,1008
795,07; 83,9485
796,32; 83,3209
797,58; 82,164
798,83; 81,4942
800,08; 80,9901
801,34; 81,4869
802,59; 82,6726
803,84; 83,6558
805,1; 84,4943
806,35; 84,456
807,6; 83,395
808,85; 81,8859
810,11; 80,7423
811,36; 80,3913
812,61; 80,7957
813,86; 81,9072
815,11; 83,308
816,36; 84,3427
817,61; 84,5502
818,86; 83,3331
820,11; 81,8769
821,36; 80,4014
822,61; 80,0085
823,86; 80,347
825,11; 81,1821
826,36; 82,9636
827,61; 83,8842
828,86; 84,172
830,11; 83,8316
831,35; 82,7183
832,6; 81,6674
833,85; 80,7468
835,1; 80,48
836,34; 80,7591
837,59; 81,6826
838,84; 82,9017
840,08; 84,024
841,33; 83,895
842,58; 83,7315
843,82; 82,8889
845,07; 82,1815
846,31; 81,0708
847,56; 80,577
848,8; 81,2285
850,05; 81,9903
851,29; 82,8651
852,54; 84,0085
853,78; 84,5415
855,02; 84,2989
856,27; 83,5332
857,51; 82,4271
858,75; 81,0715
860; 80,1364
861,24; 80,0359
862,48; 80,8434
863,72; 81,7702
864,97; 83,2162
866,21; 84,4434
867,45; 84,423
868,69; 83,5401
869,93; 82,3938
871,17; 81,2795
872,41; 80,1329
873,65; 79,4981
874,89; 79,3484
876,13; 80,1185
877,37; 81,8959
878,61; 83,3361
879,85; 84,0171
881,09; 84,1698
882,33; 83,5833
883,57; 82,2106
884,8; 81,0344
886,04; 80,1852
887,28; 79,8075
888,52; 80,2014
889,76; 80,6633
890,99; 81,858
892,23; 83,1481
893,47; 83,7856
894,7; 83,9729
895,94; 83,9109
897,17; 82,894
898,41; 82,0004
899,65; 81,1066
900,88; 80,6694
902,12; 80,194
903,35; 80,6364
904,59; 81,5991
905,82; 82,8835
907,05; 83,4926
908,29; 84,6332
909,52; 84,7112
910,75; 84,3823
911,99; 83,6582
913,22; 82,2028
914,45; 81,0657
915,69; 80,2994
916,92; 80,1243
918,15; 81,0873
919,38; 81,3659
920,61; 82,5373
921,85; 83,5716
923,08; 84,1686
924,31; 84,7
925,54; 84,2596
926,77; 83,5421
928; 81,9491
929,23; 80,8363
930,46; 79,8009
931,69; 79,3172
932,92; 79,323
934,15; 79,9096
935,38; 80,9387
936,6; 82,6362
937,83; 83,8381
939,06; 84,2705
940,29; 84,106
941,52; 83,0382
942,74; 81,8303
943,97; 80,5421
945,2; 79,3918
946,42; 78,8703
947,65; 79,0978
948,88; 80,0157
950,1; 80,6501
951,33; 81,3337
952,55; 82,7742
953,78; 84,0884
955,01; 84,6445
956,23; 84,822
957,46; 83,7899
958,68; 82,1045
959,9; 81,1057
961,13; 80,2719
962,35; 79,7931
963,58; 80,0068
964,8; 80,4106
966,02; 81,2782
967,24; 81,5877
968,47; 82,2663
969,69; 83,8703
970,91; 84,3891
972,13; 84,2859
973,36; 84,2144
974,58; 83,7672
975,8; 82,5835
977,02; 81,7238
978,24; 81,2099
979,46; 80,0574
980,68; 80,1085
981,9; 79,899
983,12; 80,5942
984,34; 81,917
985,56; 83,1179
986,78; 83,5478
988; 84,7535
989,22; 84,973
990,44; 84,6391
991,65; 83,8512
992,87; 83,4507
994,09; 82,3242
995,31; 81,0917
996,53; 80,1595
997,74; 79,0196
998,96; 80,0772
1000,18; 80,6133
1001,39; 80,167
1002,61; 80,4366
1003,83; 81,9901
1005,04; 82,6598
1006,26; 83,4806
1007,47; 84,2751
1008,69; 83,9401
1009,9; 83,0586
1011,12; 82,8473
1012,33; 81,2867
1013,54; 80,5849
1014,76; 78,7689
1015,97; 78,6731
1017,19; 78,7299
1018,4; 79,572
1019,61; 79,296
1020,83; 81,0334
1022,04; 81,5549
1023,25; 83,2151
1024,46; 82,9011
