"Wavelength (nm)"; "Transmittance (%)"
395,13; 81,8776
396,46; 82,1519
397,79; 81,2344
399,11; 82,6342
400,44; 81,6701
401,76; 82,5914
403,08; 82,68
404,41; 82,0356
405,73; 81,8578
407,06; 82,5622
408,38; 82,1674
409,7; 81,8542
411,03; 82,6025
412,35; 82,0562
413,67; 82,7997
414,99; 81,6516
416,31; 82,3806
417,64; 82,0585
418,96; 82,4052
420,28; 82,0005
421,6; 82,3652
422,92; 82,8029
424,24; 82,4916
425,56; 82,9462
426,88; 82,2
428,2; 82,2259
429,52; 82,3291
430,84; 82,1952
432,16; 82,9299
433,48; 82,455
434,8; 82,9667
436,12; 82,2959
437,44; 82,5926
438,75; 82,2931
440,07; 82,1652
441,39; 82,3914
442,71; 82,4997
444,02; 82,6898
445,34; 82,8045
446,66; 82,521
447,98; 83,0466
449,29; 82,6848
450,61; 82,3335
451,92; 82,7474
453,24; 82,5748
454,55; 82,4663
455,87; 82,817
457,18; 82,7593
458,5; 83,0082
459,81; 83,163
461,13; 82,6637
462,44; 83,1109
463,76; 82,7655
465,07; 82,5032
466,38; 82,688
467,7; 82,9513
469,01; 82,7041
470,32; 83,082
471,63; 83,0267
472,95; 82,6012
474,26; 83,1852
475,57; 82,6782
476,88; 82,5326
478,19; 83,2348
479,5; 82,885
480,81; 82,3706
482,13; 83,2547
483,44; 83,2078
484,75; 82,7742
486,06; 83,1026
487,37; 83,4614
488,67; 82,5984
489,98; 82,6791
491,29; 82,8893
492,6; 82,4222
493,91; 82,5274
495,22; 83,2618
496,53; 82,7981
497,83; 82,4721
499,14; 83,244
500,45; 83,2223
501,76; 82,3786
503,06; 82,9634
504,37; 83,1451
505,68; 82,3464
506,98; 82,3743
508,29; 83,0554
509,6; 82,7823
510,9; 82,3651
512,21; 83,0477
513,51; 83,5638
514,82; 82,5759
516,12; 82,5251
517,42; 83,5456
518,73; 82,9846
520,03; 81,9906
521,34; 82,5844
522,64; 83,1409
523,94; 82,3267
525,25; 82,3062
526,55; 83,0775
527,85; 83,4896
529,15; 82,5854
530,46; 82,4781
531,76; 83,5012
533,06; 83,3703
534,36; 82,3328
535,66; 82,3638
536,96; 83,388
538,26; 82,8703
539,56; 81,8949
540,87; 82,5513
542,17; 83,3346
543,47; 83,0128
544,76; 82,3149
546,06; 82,5811
547,36; 83,6616
548,66; 83,4223
549,96; 82,1349
551,26; 82,3579
552,56; 83,4652
553,86; 83,212
555,15; 81,9499
556,45; 82,0789
557,75; 83,0779
559,05; 83,2633
560,34; 82,3363
561,64; 82,1703
562,94; 83,196
564,23; 83,9966
565,53; 83,1683
566,82; 82,2359
568,12; 82,8359
569,41; 83,9615
570,71; 83,543
572; 82,1899
573,3; 82,2082
574,59; 83,4776
575,89; 83,6915
577,18; 82,7041
578,47; 82,226
579,77; 82,9476
581,06; 83,9467
582,35; 83,8607
583,65; 82,7645
584,94; 82,4917
586,23; 83,5693
587,52; 84,3181
588,82; 83,5716
590,11; 82,2988
591,4; 82,4942
592,69; 83,7712
593,98; 84,1578
595,27; 83,0482
596,56; 82,1899
597,85; 82,7184
599,14; 83,8687
600,43; 84,0745
601,72; 83,2101
603,01; 82,4749
604,3; 82,9639
605,59; 84,2277
606,88; 84,4088
608,16; 83,324
609,45; 82,3706
610,74; 82,8285
612,03; 84,1241
613,32; 84,4382
614,6; 83,1777
615,89; 82,0638
617,18; 82,4027
618,46; 83,7542
619,75; 84,2414
621,04; 83,5591
622,32; 82,5287
623,61; 82,4538
624,89; 83,536
626,18; 84,4166
627,46; 84,2623
628,75; 83,1254
630,03; 82,301
631,32; 82,811
632,6; 84,1486
633,88; 84,3993
635,17; 83,4137
636,45; 82,0546
637,73; 82,0479
639,02; 83,2941
640,3; 84,2206
641,58; 83,9695
642,86; 82,7928
644,15; 82,0235
645,43; 82,6663
646,71; 83,8432
647,99; 84,5025
649,27; 84,0746
650,55; 82,889
651,83; 82,1952
653,11; 82,7612
654,39; 83,9797
655,67; 84,7624
656,95; 84,1054
658,23; 82,5824
659,51; 81,8264
